,Q_HC,T_op,T_ext,Q_H,Q_C
2009-05-08 08:00:00,5998.473398530526,20.000000000000004,9.29,5998.473398530526,0.0
2009-05-08 09:00:00,5668.168816928952,20.0,11.23,5668.168816928952,0.0
2009-05-08 10:00:00,5322.138765173817,20.0,12.55,5322.138765173817,0.0
2009-05-08 11:00:00,4926.257758948881,19.999999999999996,13.98,4926.257758948881,0.0
2009-05-08 12:00:00,4577.9120125513955,20.0,14.73,4577.9120125513955,0.0
2009-05-08 13:00:00,4242.415362368637,20.0,15.3,4242.415362368637,0.0
2009-05-08 14:00:00,3950.0917309675046,20.0,15.88,3950.0917309675046,0.0
2009-05-08 15:00:00,3815.306704964281,20.0,15.67,3815.306704964281,0.0
2009-05-08 16:00:00,3698.69988360007,20.0,15.26,3698.69988360007,0.0
2009-05-08 17:00:00,3746.1282809491577,20.0,14.34,3746.1282809491577,0.0
2009-05-08 18:00:00,3933.3732694962932,20.0,13.11,3933.3732694962932,0.0
2009-05-08 19:00:00,4110.183188575317,20.0,11.96,4110.183188575317,0.0
2009-05-08 20:00:00,4350.737529201809,20.0,10.71,4350.737529201809,0.0
2009-05-08 21:00:00,4437.419374337299,20.000000000000004,10.64,4437.419374337299,0.0
2009-05-08 22:00:00,4652.079006706882,19.999999999999993,9.61,4652.079006706882,0.0
2009-05-08 23:00:00,0.0,18.45204190141829,8.75,0.0,0.0
2009-05-09 00:00:00,0.0,18.030570627439275,8.07,0.0,0.0
2009-05-09 01:00:00,0.0,17.83225317931921,7.05,0.0,0.0
2009-05-09 02:00:00,0.0,17.661481748553946,5.54,0.0,0.0
2009-05-09 03:00:00,0.0,17.50654351770364,4.61,0.0,0.0
2009-05-09 04:00:00,0.0,17.358028564948917,3.98,0.0,0.0
2009-05-09 05:00:00,8436.760746342625,20.0,3.61,8436.760746342625,0.0
2009-05-09 06:00:00,7045.807749758714,20.0,3.91,7045.807749758714,0.0
2009-05-09 07:00:00,6571.669317087594,20.0,6.15,6571.669317087594,0.0
2009-05-09 08:00:00,5924.523522058579,19.999999999999996,9.75,5924.523522058579,0.0
2009-05-09 09:00:00,5666.825796418956,20.0,11.21,5666.825796418956,0.0
2009-05-09 10:00:00,5263.092816262443,20.000000000000007,12.92,5263.092816262443,0.0
2009-05-09 11:00:00,4853.345419800188,20.0,14.4,4853.345419800188,0.0
2009-05-09 12:00:00,4561.569681406679,20.0,14.7,4561.569681406679,0.0
2009-05-09 13:00:00,4173.9689612574775,20.0,15.66,4173.9689612574775,0.0
2009-05-09 14:00:00,3903.4963956711085,19.999999999999996,16.04,3903.4963956711085,0.0
2009-05-09 15:00:00,3727.8722777455037,20.0,16.08,3727.8722777455037,0.0
2009-05-09 16:00:00,3625.8857313959306,20.0,15.5,3625.8857313959306,0.0
2009-05-09 17:00:00,3674.7134895836466,20.0,14.62,3674.7134895836466,0.0
2009-05-09 18:00:00,3795.575250480054,19.999999999999996,13.99,3795.575250480054,0.0
2009-05-09 19:00:00,3946.610961021387,20.0,12.97,3946.610961021387,0.0
2009-05-09 20:00:00,4136.59572678898,20.0,11.98,4136.59572678898,0.0
2009-05-09 21:00:00,4296.2909901479725,19.999999999999996,11.26,4296.2909901479725,0.0
2009-05-09 22:00:00,4483.196850869195,20.0,10.34,4483.196850869195,0.0
2009-05-09 23:00:00,0.0,18.501858926863747,9.49,0.0,0.0
2009-05-10 00:00:00,0.0,18.086875282347037,8.52,0.0,0.0
2009-05-10 01:00:00,0.0,17.898349254381444,7.67,0.0,0.0
